user_id,sum,sec,sessions_completed,gender,experience_level,estimate_birth_day,focus,start_date
626,540000,540,216,m,"{""mindfulness"":""medium""}",1955-04-24 20:56:35.208+00,mindfulness,
647,445000,445,178,f,"{""mindfulness"":""medium""}",1956-04-25 11:03:20.276+00,mindfulness,
648,685000,685,411,m,"{""mindfulness"":""medium""}",1985-04-25 11:58:56.354+00,mindfulness,
651,2100000,2100,12264,f,"{""yoga"":""medium""}",1980-04-25 19:04:47.039+00,yoga,
652,1475000,1475,29128,m,"{""mindfulness"":""medium""}",1968-04-25 18:49:32.609+00,mindfulness,
653,25000,25,1103,f,"{""mindfulness"":""medium""}",1971-04-26 07:13:15.388+00,mindfulness,
655,365000,365,219,f,"{""mindfulness"":""low""}",1981-04-25 23:05:57.8+00,mindfulness,
656,1840000,1840,3896,m,"{""mindfulness"":""high""}",1985-04-25 23:53:03.719+00,mindfulness,
657,185000,185,854,f,"{""yoga"":""medium""}",1982-04-26 04:09:04.089+00,yoga,
659,60000,60,12,m,"{""mindfulness"":""low""}",1992-04-26 09:49:10.042+00,mindfulness,
660,170000,170,160,f,"{""yoga"":""medium""}",1963-04-26 11:20:30.801+00,yoga,
662,85000,85,17,m,"{""mindfulness"":""medium""}",1968-04-26 14:45:08.949+00,mindfulness,
663,2510000,2510,2510,f,"{""mindfulness"":""none""}",1960-04-26 15:08:33.583+00,mindfulness,
665,1995000,1995,820,m,"{""yoga"":""low""}",1973-04-26 22:26:14.78+00,yoga,
666,1175000,1175,3640,m,"{""yoga"":""medium""}",1974-03-13 23:11:50.61+00,yoga,
668,110000,110,22,m,"{""mindfulness"":""none""}",1986-04-27 00:32:12.556+00,mindfulness,
669,105000,105,21,m,"{""mindfulness"":""medium""}",1989-04-27 02:27:18.449+00,mindfulness,
670,65000,65,13,f,"{""mindfulness"":""medium""}",1991-04-27 02:43:20.343+00,mindfulness,
672,2285000,2285,457,f,"{""yoga"":""medium""}",1983-04-27 05:23:01.187+00,yoga,
675,2550000,2550,9715,f,"{""mindfulness"":""none""}",1968-04-27 12:30:33.518+00,mindfulness,
679,5125000,5125,12518,m,"{""mindfulness"":""medium""}",1988-04-27 16:11:41.495+00,mindfulness,
680,130000,130,26,m,"{""mindfulness"":""none""}",1987-04-27 16:55:25.556+00,mindfulness,
685,5000,5,1,m,"{""mindfulness"":""medium""}",1992-04-27 19:05:32.998+00,mindfulness,
686,105000,105,21,m,"{""mindfulness"":""medium""}",1990-04-27 19:12:25.991+00,mindfulness,
694,660000,660,660,m,"{""mindfulness"":""medium""}",1973-04-27 21:26:28.675+00,mindfulness,
696,700000,700,280,f,"{""mindfulness"":""medium""}",1986-04-27 21:33:52.931+00,mindfulness,
702,650000,650,390,f,"{""mindfulness"":""medium""}",1966-04-28 11:50:57.494+00,mindfulness,
704,450000,450,90,m,"{""mindfulness"":""low""}",1986-04-28 14:38:02.632+00,mindfulness,
705,300000,300,164,m,"{""mindfulness"":""low""}",1988-04-28 17:36:58.891+00,mindfulness,
706,110000,110,22,m,"{""mindfulness"":""none""}",1980-04-28 17:53:35.151+00,mindfulness,
708,600000,600,7208,f,"{""mindfulness"":""medium""}",1982-12-12 05:17:25.745+00,mindfulness,
723,5000,5,1,f,"{""mindfulness"":""medium""}",1988-04-29 00:11:01.349+00,mindfulness,
730,3185000,3185,4459,f,"{""yoga"":""medium""}",1985-04-29 05:25:54.783+00,yoga,
739,1300000,1300,780,f,"{""mindfulness"":""high""}",1973-04-29 17:30:03.204+00,mindfulness,
747,20000,20,4,f,"{""mindfulness"":""low""}",1988-04-29 22:03:50.704+00,mindfulness,
756,690000,690,276,f,"{""mindfulness"":""low""}",1985-04-30 12:02:17.658+00,mindfulness,
760,110000,110,22,m,"{""mindfulness"":""none""}",1969-04-30 16:03:28.977+00,mindfulness,
763,125000,125,50,m,"{""mindfulness"":""low""}",1969-04-30 18:24:44.236+00,mindfulness,
769,295000,295,59,f,"{""yoga"":""high""}",1965-04-30 21:12:49.239+00,yoga,
773,720000,720,764,m,"{""mindfulness"":""medium""}",1980-05-01 05:29:52.962+00,mindfulness,
774,455000,455,91,m,"{""mindfulness"":""low""}",1984-05-01 06:06:34.654+00,mindfulness,
775,695000,695,278,f,"{""mindfulness"":""none""}",1982-05-01 08:04:55.09+00,mindfulness,
777,165000,165,33,f,"{""mindfulness"":""none""}",1985-05-01 12:55:08.158+00,mindfulness,
