ID,subscribedYN,sec,sessions_completed,series_completed,experience,focus_n,gender_n,dob_given
172,0,700,2,0,3,0,0,1
173,0,330,1,0,2,0,0,1
174,0,1430,3,0,3,0,0,1
175,0,970,2,0,2,1,1,1
176,0,15,1,0,3,0,1,1
177,0,30,1,0,1,0,1,1
178,0,15,1,0,2,0,0,1
179,0,5725,13,2,3,0,1,1
180,0,110,1,0,4,0,1,1
181,0,695,2,0,2,0,0,1
182,0,120,1,0,4,0,1,1
183,0,210,1,0,4,0,1,1
184,0,4325,8,0,2,0,0,1
185,0,2705,7,0,4,0,0,1
186,0,1605,4,0,4,0,0,1
187,1,780,2,0,4,0,0,1
188,0,15,1,0,2,0,1,1
189,0,290,1,0,3,0,1,1
190,0,15,1,0,2,0,0,1
191,0,2320,7,0,2,0,1,1
192,0,55,2,0,1,0,1,1
193,1,6080,9,0,2,0,0,1
194,0,640,2,0,3,0,0,1
195,0,195,2,0,3,1,0,1
196,0,125,1,0,2,0,0,1
197,0,65,1,0,3,0,1,1
198,0,695,2,0,1,0,1,1
199,0,910,5,0,3,0,0,1
200,0,20,1,0,2,0,1,1
201,0,35,1,0,2,0,0,1
202,0,1835,1,0,3,1,0,1
203,1,265,1,0,3,0,1,1
204,0,85,2,0,3,1,0,1
205,0,30,1,0,4,1,0,1
206,0,20,1,0,1,0,0,1
207,0,4005,9,0,3,0,1,1
208,0,90,2,0,2,0,0,1
209,0,645,3,0,3,0,0,1
210,1,10110,11,0,2,1,1,1
211,0,705,2,0,2,0,0,1
212,0,715,2,0,2,0,1,1
213,0,30,1,0,1,1,0,1
214,0,165,1,0,3,0,0,1
215,1,1285,3,0,4,0,0,1
216,0,70,2,0,2,0,1,1
217,0,705,3,0,3,0,1,1
218,0,215,1,0,1,0,0,1
219,0,765,3,0,3,0,0,1
220,0,70,1,0,1,0,1,1
221,0,15,1,0,1,0,0,1
222,0,110,1,0,2,0,0,1
223,0,50,3,0,3,0,0,1
224,0,60,1,0,2,0,1,1
225,0,700,2,0,3,0,0,1
226,0,1795,11,0,4,0,0,1
227,0,230,1,0,4,0,0,1
228,0,700,2,0,1,0,0,1
229,0,1345,2,0,3,1,0,1
230,1,8640,3,0,2,0,0,1
231,0,3380,8,0,1,0,0,1
232,1,10775,4,0,4,1,0,1
233,0,16020,24,3,2,0,1,1
234,0,695,2,0,2,0,0,1
235,0,150,2,0,2,0,1,1
236,0,15,1,0,2,0,1,1
237,0,65,1,0,1,0,1,1
238,0,1300,3,0,3,0,0,1
239,0,725,3,0,2,0,0,1
240,0,265,1,0,1,0,1,1
241,0,515,2,0,3,0,1,1
242,0,15,1,0,3,0,0,1
243,0,20,1,0,1,0,1,1
244,0,655,4,0,3,0,1,1
245,0,15,1,0,3,0,1,1
246,0,705,2,0,3,0,0,1
247,0,3945,1,0,3,0,0,1
248,0,2005,5,0,3,0,0,1
249,0,4355,9,2,4,0,1,1
250,0,195,1,0,3,1,0,1
251,0,40,1,0,2,0,0,1
252,0,140,1,0,4,0,0,1
253,0,70,1,0,3,1,1,1
254,0,430,3,0,3,0,0,1
255,0,65,1,0,3,0,0,1
256,0,700,2,0,1,0,1,1
257,0,2740,11,2,3,0,0,1
258,0,65,1,0,4,0,1,1
259,0,785,4,0,2,0,0,1
260,0,15,1,0,1,1,0,1
261,0,105,1,0,4,0,0,1
262,1,5245,16,0,4,0,0,1
263,0,110,1,0,4,1,0,1
264,0,335,1,0,2,0,0,1
265,0,240,1,0,1,0,1,1
266,0,100,2,0,2,0,0,1
267,0,65,1,0,3,0,0,1
268,0,1280,3,0,2,0,1,1
269,0,1340,3,0,2,0,1,1
270,0,310,1,0,1,0,0,1
271,0,20,1,0,2,0,0,1
272,0,1980,5,0,1,0,0,1
273,0,50,1,0,1,0,1,1
274,0,725,2,0,1,1,0,1
275,0,35,1,0,2,0,1,1
276,0,1345,7,0,2,0,0,1
277,0,35,1,0,1,0,0,1
278,0,2095,4,0,3,0,1,1
279,0,110,1,0,2,0,0,1
280,0,700,2,0,2,0,0,1
281,1,3670,7,0,4,1,0,1
282,0,65,1,0,1,0,0,1
283,1,1330,4,0,4,0,0,1
284,0,25,1,0,2,0,0,1
285,0,335,4,0,3,1,0,1
286,0,175,1,0,3,1,0,1
287,0,1300,3,0,2,0,0,1
288,0,55,1,0,2,0,1,1
289,0,490,1,0,1,0,0,1
290,0,890,4,0,3,0,1,1
291,0,170,1,0,3,0,1,1
292,0,4885,12,2,3,0,1,1
293,0,695,2,0,1,0,1,1
294,0,155,1,0,2,1,0,1
295,0,60,1,0,3,0,1,1
296,0,80,2,0,4,0,0,1
297,0,65,1,0,2,0,1,1
298,0,15,1,0,2,0,0,1
299,0,120,1,0,2,0,1,1
300,0,1785,4,0,3,0,1,1
301,0,15,1,0,1,0,1,1
302,0,1840,4,0,3,0,0,1
303,0,110,1,0,2,0,0,1
304,0,1895,2,0,3,0,0,1
305,0,75,1,0,1,0,0,1
306,0,490,1,0,1,0,0,1
307,0,700,2,0,2,0,1,1
308,1,4470,11,3,3,0,1,1
309,0,740,2,0,2,0,0,1
310,0,700,2,0,1,0,0,1
311,0,225,1,0,3,0,0,1
312,1,4390,9,2,4,0,0,1
313,0,705,2,0,1,0,0,1
314,0,110,1,0,2,0,0,1
315,0,1390,7,0,2,0,0,1
316,0,40,1,0,3,0,0,1
317,1,7115,4,0,3,0,0,1
318,0,40,1,0,2,0,1,1
319,0,350,4,0,2,0,0,1
320,0,9580,6,0,4,1,0,1
321,0,205,5,0,1,0,0,1
322,0,600,12,0,2,0,0,1
323,0,40,1,0,2,0,0,1
324,0,1985,5,0,2,0,0,1
325,0,40,1,0,2,0,0,1
326,1,13085,4,0,4,1,0,1
327,0,65,1,0,3,0,1,1
328,0,40,1,0,2,0,1,1
329,0,60,1,0,2,0,0,1
330,0,65,1,0,1,0,1,1
331,0,40,1,0,2,0,0,1
332,0,1315,3,0,1,0,0,1
333,0,45,1,0,3,0,0,1
334,0,705,2,0,1,0,1,1
335,0,700,2,0,2,0,0,1
336,1,1440,1,0,4,1,0,1
337,0,725,2,0,1,0,1,1
338,0,685,3,0,1,0,0,1
339,0,40,1,0,2,0,0,1
340,0,1340,2,0,3,1,1,1
341,0,1405,6,0,1,0,0,1
342,0,570,1,0,4,1,0,1
343,0,40,1,0,1,0,1,1
344,0,65,1,0,3,1,0,1
345,0,65,1,0,1,0,0,1
346,0,2560,6,0,4,0,0,1
347,0,1345,4,0,1,0,1,1
348,1,40,1,0,4,0,0,1
349,0,40,1,0,1,0,1,1
350,0,885,4,0,2,0,0,1
351,0,70,1,0,4,0,0,1
352,0,1675,10,0,2,0,0,1
353,0,70,1,0,1,0,0,1
354,0,655,2,0,3,0,0,1
355,0,965,2,0,2,1,0,1
356,0,25,1,0,2,0,0,1
357,0,2330,7,0,2,0,0,1
358,0,35,1,0,2,0,0,1
359,0,130,1,0,2,0,0,1
360,0,75,1,0,4,0,0,1
361,0,65,1,0,4,0,0,1
362,0,420,1,0,3,0,0,1
363,0,3290,2,0,3,1,0,1
364,0,335,2,0,3,0,0,1
365,0,65,1,0,3,1,0,1
366,0,405,1,0,4,1,0,1
367,0,1980,4,0,1,0,0,1
368,0,40,1,0,1,0,0,1
369,0,135,4,0,2,0,1,1
370,0,615,3,0,3,0,0,1
371,0,285,1,0,1,0,0,1
372,0,690,2,0,1,0,1,1
373,0,65,1,0,1,0,0,1
374,0,655,2,0,2,0,0,1
375,0,1860,5,0,3,1,0,1
376,0,530,1,0,3,0,0,1
377,0,1330,4,0,1,0,1,1
378,0,100,1,0,3,1,1,1
379,0,735,3,0,3,0,0,1
380,0,110,1,0,3,0,0,1
381,0,15,1,0,2,0,0,1
382,0,35,1,0,2,0,1,1
383,0,65,1,0,3,0,1,1
384,0,2665,6,0,3,0,0,1
385,0,75,1,0,1,0,0,1
386,0,705,2,0,4,0,1,1
387,0,730,3,0,3,0,0,1
388,1,140,1,0,4,0,1,1
389,0,60,1,0,3,1,1,1
390,0,605,2,0,2,0,1,1
391,0,2715,3,0,1,0,0,1
392,0,40,1,0,1,0,1,1
393,0,40,1,0,1,0,0,1
394,0,40,1,0,2,0,0,1
395,0,40,1,0,2,0,0,1
396,0,685,2,0,2,0,0,1
397,0,25,1,0,3,0,1,1
398,0,35,1,0,1,0,0,1
399,0,695,2,0,3,0,0,1
400,0,75,1,0,2,1,1,1
401,1,3085,6,0,2,0,0,1
402,0,1505,4,0,2,0,0,1
403,0,105,2,0,1,0,0,1
404,0,695,2,0,3,0,0,1
405,0,1490,4,0,2,0,0,1
406,0,85,2,0,4,1,1,1
407,0,60,1,0,4,0,0,1
408,0,1345,3,0,3,1,1,1
409,0,20,1,0,3,0,0,1
410,0,100,2,0,1,0,0,1
411,0,40,1,0,1,0,0,1
412,0,2495,5,0,3,0,1,1
413,0,125,1,0,1,0,0,1
414,0,3960,10,0,1,1,0,1
415,0,40,1,0,2,0,0,1
416,0,40,1,0,1,0,0,1
417,0,130,2,0,2,0,0,1
418,0,120,2,0,3,0,0,1
419,0,715,3,0,1,0,1,1
420,0,40,1,0,2,0,0,1
421,0,35,1,0,1,0,0,1
422,0,1305,3,0,1,0,1,1
423,0,1350,2,0,2,0,0,1
424,0,20,1,0,3,0,0,1
425,0,705,2,0,2,0,0,1
426,0,25,1,0,1,0,1,1
427,0,125,1,0,3,0,0,1
428,0,45,1,0,2,0,0,1
429,0,1395,4,0,3,0,1,1
430,1,35,2,0,3,0,1,1
431,0,455,1,0,3,0,1,1
432,0,35,1,0,1,0,1,1
433,0,370,1,0,3,0,0,1
434,0,65,1,0,1,0,1,1
435,0,700,2,0,3,0,0,1
436,0,40,1,0,3,0,0,1
437,0,40,1,0,4,1,0,1
438,0,65,1,0,2,0,1,1
439,0,675,2,0,3,0,0,1
440,0,650,2,0,3,0,1,1
441,0,2460,5,0,3,0,1,1
442,0,135,1,0,1,0,0,1
443,0,60,1,0,2,0,0,1
444,0,70,1,0,3,0,0,1
445,0,65,1,0,1,0,1,1
446,0,695,2,0,2,0,0,1
447,0,15,1,0,2,0,0,1
448,0,115,2,0,3,1,0,1
449,0,155,3,0,3,0,0,1
450,0,2700,8,0,2,0,0,1
451,0,35,1,0,3,1,0,1
452,0,435,3,0,4,1,0,1
453,0,740,3,0,3,0,0,1
454,0,2270,7,0,4,1,1,1
455,0,85,1,0,3,1,0,1
456,0,3350,9,0,3,0,1,1
457,1,2075,4,0,2,0,0,1
458,0,15,1,0,2,0,0,1
459,1,8035,9,0,3,1,0,1
460,0,695,2,0,3,0,0,1
461,0,715,2,0,3,1,0,1
462,0,85,1,0,2,0,0,1
463,0,1550,6,0,2,0,0,1
464,0,65,1,0,2,0,1,1
465,0,20,1,0,3,0,1,1
466,0,845,3,0,1,0,1,1
467,0,700,2,0,2,0,0,1
468,0,1415,4,0,2,0,1,1
469,0,1285,3,0,1,0,1,1
470,0,4725,7,0,3,0,0,1
471,0,115,1,0,4,0,1,1
472,0,345,3,0,1,1,0,1
473,0,690,2,0,2,0,0,1
474,0,485,1,0,3,0,1,1
475,0,2310,3,0,3,0,1,1
476,0,65,1,0,4,0,1,1
477,0,1290,3,0,1,0,0,1
478,0,2100,6,0,1,0,0,1
479,0,7815,26,5,1,0,1,1
480,0,640,2,0,1,0,1,1
481,0,505,10,0,2,0,0,1
482,0,35,1,0,1,0,0,1
483,1,11860,11,0,4,1,0,1
484,0,25,1,0,2,0,1,1
485,0,700,2,0,2,0,0,1
486,0,65,1,0,2,0,0,1
487,0,140,2,0,1,0,0,1
488,0,60,1,0,2,0,0,1
489,0,195,3,0,1,1,0,1
490,0,165,1,0,1,0,0,1
491,0,65,1,0,1,0,0,1
492,0,65,1,0,3,0,0,1
493,0,1350,3,0,2,0,1,1
494,0,160,1,0,3,0,0,1
495,0,20,1,0,1,0,0,1
496,0,1910,4,0,3,0,0,1
497,0,75,1,0,1,0,1,1
498,0,295,1,0,2,0,0,1
499,0,220,1,0,2,0,0,1
500,0,1885,4,0,3,0,0,1
501,0,75,1,0,3,0,1,1
502,0,35,1,0,1,0,1,1
503,0,35,1,0,4,0,1,1
504,0,20,1,0,1,0,1,1
505,0,40,1,0,2,0,1,1
506,0,65,1,0,1,0,1,1
507,0,65,1,0,3,0,1,1
508,0,440,3,0,4,1,0,1
509,0,65,1,0,3,0,0,1
510,0,60,2,0,3,0,1,1
511,0,65,1,0,4,0,0,1
512,0,700,2,0,1,0,1,1
513,0,65,1,0,1,0,0,1
514,0,50,1,0,2,0,1,1
515,0,1880,4,0,1,0,0,1
516,1,230,2,0,3,0,1,1
517,0,215,1,0,1,0,1,1
518,0,700,2,0,3,0,1,1
519,0,690,2,0,2,0,1,1
520,0,65,1,0,2,0,1,1
521,0,1815,1,0,3,1,0,1
522,1,85,1,0,4,0,1,1
